Группа изделий,Типономинал ИС,"d, шт.","λб·10^6, 1/ч"
Микросхемы интегральные полупроводниковые цифровые,"134ЛБ1А, Б",1,"0,11"
Микросхемы интегральные полупроводниковые цифровые,564ЛА9,1,"0,043"
Микросхемы интегральные полупроводниковые цифровые,134ТВ1,1,"0,07 "
Микросхемы интегральные полупроводниковые цифровые,564ЛС2,2,"0,1 "
Микросхемы интегральные полупроводниковые цифровые,164ЛА7,2,"0,21 "
Микросхемы интегральные полупроводниковые цифровые,564ПУ4,1,"0,21 "
Микросхемы интегральные полупроводниковые цифровые,169АА1,1,"0,09 "
Микросхемы интегральные полупроводниковые цифровые,"564РУ2А, Б",1,"0,055 "
Микросхемы интегральные полупроводниковые цифровые,169АП2,2,"0,16 "
Микросхемы интегральные полупроводниковые цифровые,585ИК02,2,"0,055 "
Микросхемы интегральные полупроводниковые цифровые,170АА7,2,"0,12 "
Микросхемы интегральные полупроводниковые цифровые,586ВВ1А,2,"6,7 "
Микросхемы интегральные полупроводниковые цифровые,530ЛА3,1,"0,097 "
Микросхемы интегральные полупроводниковые цифровые,700ЛП107-2,1,"0,096 "
Микросхемы интегральные полупроводниковые цифровые,541РТ2,1,"0,52 "
Микросхемы интегральные полупроводниковые цифровые,1533ЛА1,2,"0,36 "
Микросхемы интегральные полупроводниковые цифровые,564ИЕ19,8,"0,13"
Микросхемы интегральные полупроводниковые аналоговые,140УД12,1,"0,047"
Микросхемы интегральные полупроводниковые аналоговые,590КН13,1,"0,053 "
Микросхемы интегральные полупроводниковые аналоговые,Б142ЕН4-4,1,"0,085 "
Микросхемы интегральные полупроводниковые аналоговые,Н590КН4,1,"0,054 "
Микросхемы интегральные полупроводниковые аналоговые,159НТ1А – Е,10,"0,081 "
Микросхемы интегральные полупроводниковые аналоговые,Н590КН7,1,"0,054 "
Микросхемы интегральные полупроводниковые аналоговые,521СА2,1,"0,053 "
Микросхемы интегральные полупроводниковые аналоговые,"Н590КН8А, Б",1,"0,090 "
Микросхемы интегральные полупроводниковые аналоговые,"522КН2А, Б",1,"0,054 "
Микросхемы интегральные полупроводниковые аналоговые,Н590КН9,1,"0,054"
Микросхемы интегральные полупроводниковые аналоговые,"538УН1А, Б",2,"0,092 "
Микросхемы интегральные полупроводниковые аналоговые,590КТ1,1,"0,044 "
Микросхемы интегральные полупроводниковые аналоговые,543КН2,1,"0,059"
Микросхемы интегральные полупроводниковые аналоговые,"597СА1А, Б",5,"0,246 "
Микросхемы интегральные полупроводниковые аналоговые,543КН3,1,"0,058 "
Микросхемы интегральные полупроводниковые аналоговые,"597СА2А, Б",2,"0,086 "
Микросхемы интегральные полупроводниковые аналоговые,590КН4,2,"0,076 "
Микросхемы интегральные полупроводниковые аналоговые,1107ПВ1,2,"0,058 "
Микросхемы интегральные полупроводниковые аналоговые,590КН5,2,"0,071 "
Микросхемы интегральные полупроводниковые аналоговые,1109КН5,1,"0,37"
Микросхемы интегральные полупроводниковые аналоговые,590КН9,1,"0,047   "
Микросхемы интегральные гибридные,"851УН1, УН2",3,"0,09    "
