Тип изделия,Номер ТУ,группа,подгруппа
"ОК-БС01, ОК-МС01",ТУ16-705.287,Оптические кабели,Монтажные и для подвижных объектов
ОК-МС09,ТУ16-К76-100,Оптические кабели,Монтажные и для подвижных объектов
"ОК-БС06, ОК-МС06",ТУ16-705.380,Оптические кабели,Монтажные и для подвижных объектов
ОК-МС11,ТУ16-К76-116,Оптические кабели,Монтажные и для подвижных объектов
ОК-БС07,ТУ16-705.381,Оптические кабели,Монтажные и для подвижных объектов
"СБ-50-2, СБ-200-2",ТУ16-705.361,Оптические кабели,Монтажные и для подвижных объектов
ОК-СС01,ТУ16-705.410,Оптические кабели,Полевые и для стационарных объектов и сооружений
ОЛПГ-50-1-10,ТУ16.705.454,Оптические кабели,Полевые и для стационарных объектов и сооружений
"ОК-СС02, ОК-СС03",ТУ16.К71-052,Оптические кабели,Полевые и для стационарных объектов и сооружений
ОЛПГ-50-2-10,ТУ16.705.454,Оптические кабели,Полевые и для стационарных объектов и сооружений
"ОК-ПН-01,ОК-ПН-02",ТУ16.К71-026,Оптические кабели,Полевые и для стационарных объектов и сооружений
ОК-ПСО1,ТУ16.К76-083,Оптические кабели,Полевые и для стационарных объектов и сооружений
ОК-50-2,2ТУ16-705.296,Оптические кабели,"Магистральные, зоновые и городские"
ОКН-01,ТУ16-705.390,Оптические кабели,Подводные негрузонесущие
ОКН-02,ТУ16-705.390,Оптические кабели,Подводные негрузонесущие
ОСРС01/1-1/0,ФТЯИ.203733.001ТУ,Оптические соединители,
ССП-2/0-К,РФЗ.906.032ТУ,Оптические соединители,
ОСРБ01/1-1/0,РФЗ.906.019ТУ,Оптические соединители,
ССП-4/0-К,РФЗ.906.032ТУ,Оптические соединители,
ПКО-ПБ04-Т1х12,ЛГИШ.203757.002ТУ,Оптические переключатели,
ОО-БЕ...1х2,И80.224.019ТУ,Оптические ответвители и разветвители,
МПД-1,ОД0.397.274ТУ,Оптоэлектронные модули,Передающие модули
ПОМ-4А,ОД0.201.003ТУ,Оптоэлектронные модули,Передающие модули
МПД-2,ОД0.397.274ТУ,Оптоэлектронные модули,Передающие модули
ПОМ-4Б,ОД0.201.004ТУ,Оптоэлектронные модули,Передающие модули
МПД-3,ОД0.397.395ТУ,Оптоэлектронные модули,Передающие модули
ПОМ-6,АГСР.433760.001ТУ,Оптоэлектронные модули,Передающие модули
МПД-4,ОД0.397.394ТУ,Оптоэлектронные модули,Передающие модули
ПОМ-12,АГСР.433760.003ТУ,Оптоэлектронные модули,Передающие модули
ПОМ-3,ОД0.201.001ТУ,Оптоэлектронные модули,Передающие модули
ПОМ-13,АГСР.433760.002ТУ,Оптоэлектронные модули,Передающие модули
МПР-1,ОД0.397.278.ТУ,Оптоэлектронные модули,Приемные модули
ОПМ-1,ОД0.397.245ТУ,Оптоэлектронные модули,Приемные модули
МПР-3,ОД0.397.395.ТУ,Оптоэлектронные модули,Приемные модули
ПРОМ-3,ОД0.202.006ТУ,Оптоэлектронные модули,Приемные модули
